site,country,lat,lon,hazard,indicator,label,scenario,year,value,model,error
OCI_Shanghai,CHN,31.2304,121.4737,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp126,2090,197.2,mean_degree_days/above/32c,
MaSteel_OCI,CHN,31.6839,118.5127,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp126,2090,303.6,mean_degree_days/above/32c,
Shandong_OCI,CHN,34.7979,117.2571,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp126,2090,260.0,mean_degree_days/above/32c,
Jianyang_Carbon,CHN,26.7587,104.4734,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp126,2090,-0.03403,mean_degree_days/above/32c,
OCI_Japan_Tokyo,JPN,35.6762,139.6503,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp126,2090,111.0,mean_degree_days/above/32c,
Philko_Makati,PHL,14.5995,120.9842,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp126,2090,137.4,mean_degree_days/above/32c,
OCI_HQ_Seoul,KOR,37.5649,126.9793,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp245,2030,15.08,mean_degree_days/above/32c,
OCI_Dream_Seoul,KOR,37.5172,126.9,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp245,2030,15.08,mean_degree_days/above/32c,
OCI_RnD_Seongnam,KOR,37.3219,127.119,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp245,2030,14.2,mean_degree_days/above/32c,
Pohang_Plant,KOR,36.0095,129.3435,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp245,2030,4.716,mean_degree_days/above/32c,
Gwangyang_Plant,KOR,34.9393,127.6961,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp245,2030,8.725,mean_degree_days/above/32c,
Gunsan_Plant,KOR,35.97,126.7114,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp245,2030,35.2,mean_degree_days/above/32c,
Iksan_Plant,KOR,35.9333,127.0167,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp245,2030,20.26,mean_degree_days/above/32c,
Saehan_Recycle,KOR,35.9333,127.0167,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp245,2030,20.26,mean_degree_days/above/32c,
OCI_Shanghai,CHN,31.2304,121.4737,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp245,2030,99.52,mean_degree_days/above/32c,
MaSteel_OCI,CHN,31.6839,118.5127,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp245,2030,171.5,mean_degree_days/above/32c,
Shandong_OCI,CHN,34.7979,117.2571,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp245,2030,149.6,mean_degree_days/above/32c,
